WolSequencID,seqCode,WolbachiaPositive
17FJ10,17FJ10,FALSE
17FJ102,17FJ102,FALSE
17FJ116,17FJ116,FALSE
17FJ15,17FJ15,FALSE
17FJ172,17FJ172,FALSE
17FJ189,17FJ189,FALSE
17FJ20,17FJ20,FALSE
17FJ202,17FJ202,FALSE
17FJ222,17FJ222,FALSE
17FJ28,17FJ28,FALSE
17FJ29,17FJ29,FALSE
17FJ3,17FJ3,FALSE
17FJ49,17FJ49,FALSE
17FJ58,17FJ58,FALSE
17FJ67,17FJ67,FALSE
17FJ90,17FJ90,FALSE
17FJ1,17FJ1,FALSE
17FJ100,17FJ100,FALSE
17FJ101,17FJ101,FALSE
17FJ103,17FJ103,FALSE
17FJ104,17FJ104,FALSE
17FJ105,17FJ105,FALSE
17FJ106,17FJ106,FALSE
17FJ107,17FJ107,FALSE
17FJ108,17FJ108,FALSE
17FJ109,17FJ109,FALSE
17FJ11,17FJ11,TRUE
17FJ110,17FJ110,FALSE
17FJ111,17FJ111,FALSE
17FJ112,17FJ112,FALSE
17FJ113,17FJ113,FALSE
17FJ114,17FJ114,FALSE
17FJ115,17FJ115,FALSE
17FJ117,17FJ117,FALSE
17FJ118,17FJ118,FALSE
17FJ119,17FJ119,FALSE
17FJ12,17FJ12,FALSE
17FJ120,17FJ120,FALSE
17FJ121,17FJ121,FALSE
17FJ122,17FJ122,FALSE
17FJ123,17FJ123,TRUE
17FJ124,17FJ124,FALSE
17FJ125,17FJ125,FALSE
17FJ126,17FJ126,FALSE
17FJ127,17FJ127,TRUE
17FJ128,17FJ128,FALSE
17FJ129,17FJ129,TRUE
17FJ13,17FJ13,FALSE
17FJ130,17FJ130,FALSE
17FJ131,17FJ131,FALSE
17FJ132,17FJ132,FALSE
17FJ133,17FJ133,FALSE
17FJ134,17FJ134,FALSE
17FJ135,17FJ135,FALSE
17FJ136,17FJ136,FALSE
17FJ137,17FJ137,FALSE
17FJ138,17FJ138,FALSE
17FJ139,17FJ139,FALSE
17FJ14,17FJ14,TRUE
17FJ140,17FJ140,FALSE
17FJ141,17FJ141,FALSE
17FJ142,17FJ142,FALSE
17FJ143,17FJ143,FALSE
17FJ144,17FJ144,TRUE
17FJ145,17FJ145,FALSE
17FJ146,17FJ146,FALSE
17FJ147,17FJ147,FALSE
17FJ148,17FJ148,FALSE
17FJ149,17FJ149,FALSE
17FJ150,17FJ150,FALSE
17FJ151,17FJ151,FALSE
17FJ152,17FJ152,FALSE
17FJ153,17FJ153,FALSE
17FJ154,17FJ154,FALSE
17FJ155,17FJ155,FALSE
17FJ156,17FJ156,FALSE
17FJ157,17FJ157,FALSE
17FJ158,17FJ158,FALSE
17FJ159,17FJ159,FALSE
17FJ16,17FJ16,TRUE
17FJ160,17FJ160,TRUE
17FJ161,17FJ161,FALSE
17FJ162,17FJ162,TRUE
17FJ163,17FJ163,FALSE
17FJ164,17FJ164,FALSE
17FJ165,17FJ165,FALSE
17FJ166,17FJ166,FALSE
17FJ167,17FJ167,FALSE
17FJ168,17FJ168,FALSE
17FJ169,17FJ169,FALSE
17FJ17,17FJ17,TRUE
17FJ170,17FJ170,TRUE
17FJ171,17FJ171,TRUE
17FJ173,17FJ173,TRUE
17FJ174,17FJ174,TRUE
17FJ175,17FJ175,TRUE
17FJ176,17FJ176,TRUE
17FJ177,17FJ177,TRUE
17FJ178,17FJ178,TRUE
17FJ179,17FJ179,TRUE
17FJ18,17FJ18,TRUE
17FJ180,17FJ180,FALSE
17FJ181,17FJ181,TRUE
17FJ182,17FJ182,TRUE
17FJ183,17FJ183,FALSE
17FJ184,17FJ184,TRUE
17FJ185,17FJ185,FALSE
17FJ186,17FJ186,FALSE
17FJ187,17FJ187,FALSE
17FJ188,17FJ188,TRUE
17FJ19,17FJ19,FALSE
17FJ190,17FJ190,TRUE
17FJ191,17FJ191,FALSE
17FJ192,17FJ192,TRUE
17FJ193,17FJ193,TRUE
17FJ194,17FJ194,FALSE
17FJ195,17FJ195,TRUE
17FJ196,17FJ196,TRUE
17FJ197,17FJ197,TRUE
17FJ198,17FJ198,FALSE
17FJ199,17FJ199,FALSE
17FJ2,17FJ2,TRUE
17FJ200,17FJ200,FALSE
17FJ201,17FJ201,FALSE
17FJ203,17FJ203,FALSE
17FJ204,17FJ204,FALSE
17FJ205,17FJ205,FALSE
17FJ206,17FJ206,FALSE
17FJ207,17FJ207,TRUE
17FJ208,17FJ208,FALSE
17FJ209,17FJ209,FALSE
17FJ21,17FJ21,TRUE
17FJ210,17FJ210,TRUE
17FJ211,17FJ211,FALSE
17FJ212,17FJ212,FALSE
17FJ213,17FJ213,TRUE
17FJ214,17FJ214,FALSE
17FJ215,17FJ215,FALSE
17FJ216,17FJ216,FALSE
17FJ217,17FJ217,TRUE
17FJ218,17FJ218,TRUE
17FJ219,17FJ219,TRUE
17FJ22,17FJ22,TRUE
17FJ220,17FJ220,TRUE
17FJ221,17FJ221,FALSE
17FJ23,17FJ23,FALSE
17FJ24,17FJ24,TRUE
17FJ25,17FJ25,FALSE
17FJ26,17FJ26,TRUE
17FJ27,17FJ27,TRUE
17FJ30,17FJ30,TRUE
17FJ31,17FJ31,TRUE
17FJ32,17FJ32,FALSE
17FJ33,17FJ33,TRUE
17FJ34,17FJ34,TRUE
17FJ35,17FJ35,FALSE
17FJ36,17FJ36,FALSE
17FJ37,17FJ37,FALSE
17FJ38,17FJ38,FALSE
17FJ39,17FJ39,TRUE
17FJ4,17FJ4,TRUE
17FJ40,17FJ40,FALSE
17FJ41,17FJ41,FALSE
17FJ42,17FJ42,FALSE
17FJ43,17FJ43,FALSE
17FJ44,17FJ44,FALSE
17FJ45,17FJ45,TRUE
17FJ46,17FJ46,TRUE
17FJ47,17FJ47,TRUE
17FJ48,17FJ48,FALSE
17FJ5,17FJ5,FALSE
17FJ50,17FJ50,FALSE
17FJ51,17FJ51,TRUE
17FJ52,17FJ52,TRUE
17FJ53,17FJ53,TRUE
17FJ54,17FJ54,FALSE
17FJ55,17FJ55,TRUE
17FJ56,17FJ56,FALSE
17FJ57,17FJ57,TRUE
17FJ59,17FJ59,TRUE
17FJ6,17FJ6,TRUE
17FJ60,17FJ60,FALSE
17FJ61,17FJ61,FALSE
17FJ62,17FJ62,TRUE
17FJ63,17FJ63,FALSE
17FJ64,17FJ64,TRUE
17FJ65,17FJ65,TRUE
17FJ66,17FJ66,FALSE
17FJ68,17FJ68,FALSE
17FJ69,17FJ69,FALSE
17FJ7,17FJ7,TRUE
17FJ70,17FJ70,TRUE
17FJ71,17FJ71,TRUE
17FJ72,17FJ72,TRUE
17FJ73,17FJ73,TRUE
17FJ74,17FJ74,FALSE
17FJ75,17FJ75,TRUE
17FJ76,17FJ76,TRUE
17FJ77,17FJ77,TRUE
17FJ78,17FJ78,FALSE
17FJ79,17FJ79,FALSE
17FJ8,17FJ8,TRUE
17FJ80,17FJ80,FALSE
17FJ81,17FJ81,FALSE
17FJ82,17FJ82,FALSE
17FJ83,17FJ83,TRUE
17FJ84,17FJ84,TRUE
17FJ85,17FJ85,TRUE
17FJ86,17FJ86,FALSE
17FJ87,17FJ87,FALSE
17FJ88,17FJ88,TRUE
17FJ89,17FJ89,TRUE
17FJ9,17FJ9,FALSE
17FJ91,17FJ91,FALSE
17FJ92,17FJ92,FALSE
17FJ93,17FJ93,TRUE
17FJ94,17FJ94,TRUE
17FJ95,17FJ95,FALSE
17FJ96,17FJ96,FALSE
17FJ97,17FJ97,FALSE
17FJ98,17FJ98,TRUE
17FJ99,17FJ99,FALSE
CM_124,CM_124,FALSE
CM_125,CM_125,FALSE
CM_127,CM_127,FALSE
CM_182,CM_182,FALSE
CM_189,CM_189,FALSE
CM_190,CM_190,FALSE
CM_249,CM_249,FALSE
CM_250,CM_250,FALSE
CM_71,CM_71,FALSE
CM_72,CM_72,FALSE
ED29,ED29_F02,FALSE
HL19.1,yCMR166_H08,FALSE
HL45.5,yCMR29_F03,TRUE
HL01.3,yCMR40_A05,FALSE
HL01.4,yCMR41_B05,FALSE
HL02.1,yCMR43_D05,FALSE
HL05.1,yCMR48_A06,TRUE
HL05.2,yCMR49_B06,FALSE
HL05.4,yCMR51_D06,TRUE
HL06.1,yCMR53_F06,FALSE
HL13.1,yCMR67_D08,FALSE
HL14.1,yCMR68_E08,FALSE
HL15.1,yCMR69_F08,FALSE
HL16.2,yCMR72_A09,FALSE
HL20.1,yCMR83_D10,FALSE
HL21.1,yCMR84_E10,FALSE
HL21.2,yCMR85_F10,FALSE
ED12,yED12_F12,FALSE
ED38,zED38_F11,FALSE