wolSeq,homaSp
17FJwol210,17FJ210
17FJwol127,17FJ127
17FJwol13,17FJ13
17FJwol13,17FJ13
17FJwol13,17FJ13
BP172,BP172
BP177,BP177
BP180,BP180
17FJwol98,17FJ98
17FJwol133,17FJ133
17FJwol139,17FJ139
17FJwol22,17FJ22
17FJwol162,17FJ162
17FJwol18,17FJ18
17FJwol02,17FJ2
17FJwol04,17FJ4
17FJwol16,17FJ16
17FJwol14,17FJ14
17FJwol08,17FJ8
17FJwol07,17FJ7
17FJwol11,17FJ11
17FJwol06,17FJ6
17FJwol21,17FJ21
17FJwol17,17FJ17
17FJwol176,17FJ176
17FJwol03,17FJ3
17FJwol15,17FJ15
17FJwol20,17FJ20
17FJwol24,17FJ24
17FJwol26,17FJ26
17FJwol27,17FJ27
17FJwol30,17FJ30
17FJwol31,17FJ31
17FJwol33,17FJ33
17FJwol34,17FJ34
17FJwol39,17FJ39
17FJwol45,17FJ45
17FJwol46,17FJ46
17FJwol47,17FJ47
17FJwol51,17FJ51
17FJwol52,17FJ52
17FJwol53,17FJ53
17FJwol55,17FJ55
17FJwol57,17FJ57
17FJwol59,17FJ59
17FJwol62,17FJ62
17FJwol64,17FJ64
17FJwol65,17FJ65
17FJwol67,17FJ67
17FJwol70,17FJ70
17FJwol71,17FJ71
17FJwol72,17FJ72
17FJwol73,17FJ73
17FJwol75,17FJ75
17FJwol76,17FJ76
17FJwol77,17FJ77
17FJwol83,17FJ83
17FJwol84,17FJ84
17FJwol85,17FJ85
17FJwol88,17FJ88
17FJwol89,17FJ89
17FJwol93,17FJ93
17FJwol94,17FJ94
17FJwol123,17FJ123
17FJwol129,17FJ129
17FJwol144,17FJ144
17FJwol160,17FJ160
17FJwol170,17FJ170
17FJwol171,17FJ171
17FJwol172,17FJ172
17FJwol173,17FJ173
17FJwol174,17FJ174
17FJwol175,17FJ175
17FJwol177,17FJ177
17FJwol178,17FJ178
17FJwol179,17FJ179
17FJwol181,17FJ181
17FJwol182,17FJ182
17FJwol184,17FJ184
17FJwol188,17FJ188
cm182,CM_182
cm189,CM_189
cm72,CM_72
cm249,CM_249
HL45_5,yCMR29_F03
HL05_4,yCMR51_D06
HL05_1,yCMR48_A06
cm71,CM_71
cm190,CM_190